,service,flag,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,label
16460,24,9,220,619,6,0,1,0,255,1,0,0,0
4838,60,9,588,20138,1,0,1,0,31,0.12,0.37,0.37,0
13491,41,1,0,0,101,0,0.01,0.07,1,0,0.06,0,1
35161,20,5,0,0,18,1,0.22,0.22,56,0.24,0.04,0.98,1
35586,24,9,224,26956,20,0,1,0,255,1,0,0,0
1140,14,9,8,0,1,0,1,0,79,1,0,0,1
34602,24,9,340,880,5,0,1,0,255,1,0,0,0
40469,49,5,0,0,132,1,0.04,0.06,5,0.02,0.08,1,1
2614,20,9,59,0,11,0,1,0,68,0.52,0.12,0,0
11384,67,5,0,0,117,1,0.15,0.05,9,0.04,0.07,1,1
30478,49,5,0,0,167,1,0.06,0.06,19,0.07,0.06,1,1
13510,24,9,244,2353,33,0,1,0,255,1,0,0,0
33752,14,9,18,0,1,0,1,0,235,1,0,0,1
30454,49,9,28,0,7,0,1,0,7,0.03,0.02,0,1
520,35,5,0,0,221,1,0.07,0.06,17,0.07,0.08,1,1
36938,24,9,311,4412,3,0,1,0,255,1,0,0,0
34524,24,9,230,1856,13,0,1,0,255,1,0,0,0
38395,24,9,351,1259,9,0,1,0,216,1,0,0,0
31546,24,9,273,244,3,0,1,0,255,1,0,0,0
37232,24,9,332,282,3,0,1,0,234,0.92,0.01,0,0
45484,49,5,0,0,215,1,0,0.05,1,0.01,0.08,0.91,1
32039,24,1,0,0,1,0,1,0,247,1,0,0,0
8195,24,9,302,3233,17,0,1,0,255,1,0,0,0
49738,12,9,29,0,1,0,1,0,43,0.17,0.05,0.01,0
48167,24,9,323,6015,1,0,1,0,255,1,0,0,0
9847,20,9,641,0,3,0,0.67,0.67,63,0.22,0.07,0,0
37820,24,9,322,998,5,0,1,0,255,1,0,0,0
27460,24,9,485,8122,25,0,1,0,255,1,0,0,0
40534,60,2,0,0,229,0,0.07,0.07,15,0.06,0.09,0,1
24308,12,9,44,44,129,0,1,0,228,0.89,0.01,0,0
16703,24,9,215,626,12,0,1,0,255,1,0,0,0
16906,24,9,241,2603,11,0,1,0,255,1,0,0,0
7209,49,1,0,0,144,0.04,0.01,0.99,1,0,0.57,0.02,1
22817,24,9,231,417,1,0,1,0,17,1,0,0,0
18427,12,9,46,46,92,0,1,0,255,1,0,0,0
33357,12,9,44,76,120,0,1,0,230,0.9,0.01,0,0
32906,49,5,0,0,109,1,0.08,0.06,13,0.05,0.08,1,1
18907,41,5,0,0,103,1,0.06,0.07,6,0.02,0.06,1,1
22878,29,5,0,0,146,1,0.16,0.04,24,0.09,0.04,1,1
48518,12,9,45,71,233,0,1,0.01,254,1,0.01,0,0
11377,49,4,0,0,1,0,1,0,1,0,0.44,0,1
41185,54,9,2555,639,1,0,1,0,125,0.49,0.02,0.6,0
19538,54,9,2511,332,1,0,1,0,96,0.51,0.08,0,0
33663,24,9,316,1848,7,0,1,0,255,1,0,0,0
23752,49,5,0,0,236,1,0.01,0.06,3,0.01,0.07,1,1
47581,24,9,234,2239,6,0,1,0,239,0.94,0.02,0,0
161,20,9,9,0,2,0,1,0,119,0.5,0.38,0,0
40162,24,9,234,7355,11,0,1,0,255,1,0,0,0
28069,49,4,0,0,1,0,1,0,1,0,0.51,0,1
45670,24,9,241,61382,10,0,1,0,255,1,0,0,0
33898,12,9,45,124,66,0,1,0,212,0.87,0.02,0,0
197,24,9,227,11564,5,0,1,0,52,1,0,0,0
2499,34,5,0,0,149,1,0.17,0.05,25,0.1,0.05,1,1
2287,24,9,54540,8314,2,0,1,0,246,1,0,0,1
44544,14,9,8,0,1,0,1,0,49,1,0,0,1
43255,44,9,147,105,1,0,1,0,2,0.01,0.37,0,0
2449,24,1,0,0,1,0,1,0,238,1,0,0,0
15842,44,1,0,0,324,0.1,0,1,1,0,1,0.09,1
18545,37,5,0,0,238,1,0.01,0.07,2,0.01,0.07,1,1
9062,24,9,235,654,9,0,1,0,255,1,0,0,0
11100,26,5,0,0,45,1,0.18,0.11,8,0.03,0.08,1,1
9133,19,9,1225,2451,1,0,1,0,116,0.45,0.02,0,1
15681,14,9,8,0,1,0,1,0,178,1,0,0,1
24807,49,5,0,0,251,1,0.06,0.06,16,0.06,0.07,1,1
20755,15,9,520,0,68,0,1,0,255,1,0,0,1
22104,24,9,233,13807,20,0,1,0,255,1,0,0,0
36682,24,9,235,608,18,0,1,0,255,1,0,0,0
18534,24,9,200,15698,11,0,1,0,255,1,0,0,0
7853,24,9,283,14568,4,0,1,0,255,1,0,0,0
39776,54,9,1174,330,1,0,1,0,143,0.8,0.05,0,0
44394,42,2,0,0,253,0,0.06,0.06,16,0.06,0.07,0,1
20789,12,9,44,44,2,0,1,0,182,0.98,0.01,0,0
42818,15,9,64,0,1,0,1,0,1,0.01,0.08,0.01,0
6881,14,9,30,0,1,0,1,0,131,1,0,0,0
