,class_flooding,class_impersonation,class_injection,class_normal
1187629,0,0,0,1
596957,0,0,0,1
1445972,0,0,0,1
953197,0,0,0,1
935467,0,0,0,1
1105659,0,0,0,1
1031179,0,0,0,1
904687,0,0,0,1
390584,0,0,0,1
119398,0,0,0,1
492381,0,0,0,1
694471,0,0,0,1
639508,0,0,0,1
257236,0,0,0,1
193135,0,0,0,1
1515370,0,0,0,1
598336,0,0,0,1
1029798,0,0,0,1
888722,0,0,0,1
1216683,0,0,0,1
40191,0,0,0,1
1717091,0,0,0,1
951055,0,0,0,1
1662017,0,0,0,1
954342,0,0,0,1
534371,0,0,0,1
878778,0,0,0,1
258522,0,0,0,1
1215251,0,0,0,1
737277,0,0,0,1
910088,0,0,0,1
1139838,0,0,0,1
1516470,0,0,0,1
1024375,0,0,0,1
1040911,0,0,0,1
862794,0,0,0,1
338427,0,0,0,1
512226,0,0,0,1
530521,0,0,0,1
895542,0,0,0,1
220026,0,0,0,1
1386296,0,0,0,1
1265387,0,0,0,1
1205867,0,0,0,1
1217815,0,0,0,1
173240,0,0,0,1
1149115,0,0,0,1
1411752,0,0,0,1
1060130,0,0,0,1
922056,0,0,0,1
1041840,0,0,0,1
1028389,0,0,0,1
672150,0,0,0,1
1314050,0,0,0,1
195478,0,0,0,1
589954,0,0,0,1
300707,0,0,0,1
609523,0,0,0,1
165544,0,0,0,1
1529162,0,0,0,1
306133,0,0,0,1
1624265,0,0,0,1
1157702,0,0,0,1
1534951,0,0,0,1
1378752,0,0,0,1
825212,0,0,0,1
1789040,0,0,0,1
804694,0,0,0,1
56903,0,0,0,1
1662416,0,0,0,1
919552,0,0,0,1
587737,0,0,0,1
1383389,0,0,0,1
898925,0,0,0,1
819780,0,0,0,1
1471867,0,0,0,1
686930,0,0,0,1
239040,0,0,0,1
1112320,0,0,0,1
590937,0,0,0,1
209272,0,0,0,1
1223884,0,0,0,1
1154284,0,0,0,1
1403217,0,0,0,1
35475,0,0,0,1
1285417,0,0,0,1
39805,0,0,0,1
12370,0,0,0,1
1712296,0,0,0,1
702521,0,0,0,1
796241,0,0,0,1
1529824,0,0,0,1
951846,0,0,0,1
505142,0,0,0,1
1452242,0,0,0,1
496147,0,0,0,1
311616,0,0,0,1
826283,0,0,0,1
973418,0,0,0,1
1791885,0,0,0,1
847628,0,0,0,1
367802,0,0,0,1
1173982,0,0,0,1
1697064,0,0,0,1
1031197,0,0,0,1
1491216,0,0,0,1
503868,0,0,0,1
105068,0,0,0,1
1645745,0,0,0,1
1673282,0,0,0,1
1262748,0,0,0,1
428347,0,0,0,1
391026,0,0,0,1
932701,0,0,0,1
884760,0,0,0,1
1389903,0,0,0,1
1035076,0,0,0,1
724168,0,0,0,1
1106414,0,0,0,1
701835,0,0,0,1
86031,0,0,0,1
83982,0,0,0,1
1654740,0,0,0,1
1207452,0,0,0,1
314138,0,0,0,1
1745789,0,0,0,1
365503,0,0,0,1
1034486,0,0,0,1
1081746,0,0,0,1
1084531,0,0,0,1
1720196,0,0,0,1
731121,0,0,0,1
593233,0,0,0,1
468942,0,0,0,1
474549,0,0,0,1
1148685,0,0,0,1
894214,0,0,0,1
1395529,0,0,0,1
115723,0,0,0,1
1055738,0,0,0,1
1128037,0,0,0,1
1749455,0,0,0,1
1174238,0,0,0,1
463100,0,0,0,1
1787299,0,0,0,1
1556120,0,0,0,1
436594,0,0,0,1
1639122,0,0,0,1
1791482,0,0,0,1
713827,0,0,0,1
192993,0,0,0,1
1069562,0,0,0,1
1428381,0,0,0,1
1052695,0,0,0,1
1391783,0,0,0,1
81530,0,0,0,1
909740,0,0,0,1
241078,0,0,0,1
1109660,0,0,0,1
397897,0,0,0,1
798887,0,0,0,1
576767,0,0,0,1
828439,0,0,0,1
299339,0,0,0,1
1722598,0,0,0,1
1740439,0,0,0,1
860886,0,0,0,1
858264,0,0,0,1
835861,0,0,0,1
1417010,0,0,0,1
1773425,0,0,0,1
941562,0,0,0,1
971197,0,0,0,1
729653,0,0,0,1
73590,0,0,0,1
520436,0,0,0,1
